"Activity","Applicant","Year","Allocation","Value"
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2012,37616,234347.68
"Carbon steel from cold ferrous feed","KiwiRail Limited",2012,60,373.8
"Cartonboard","Whakatane Mill Limited",2012,79480,495160.4
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2012,9860,61427.8
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2012,278421,1734562.83
"Cementitious products","Holcim (New Zealand) Limited",2012,174223,1085409.29
"Clay bricks and field tiles","Clay Bricks Ltd",2012,320,1993.6
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2012,2479,15444.17
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2012,73,454.79
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2012,24,149.52
"Cut roses","Franko Roses New Zealand Limited",2012,97,604.31
"Cut roses","Jeffrey Guy Ward",2012,77,479.71
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",2012,43,267.89
"Cut roses","K & L Nurseries Limited",2012,260,1619.8
"Cut roses","Moffatts Flower Company Limited",2012,764,4759.72
"Cut roses","Riverland Holdings Limited",2012,543,3382.89
"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",2012,97,604.31
"Cut roses","Royal Roses Limited",2012,33,205.59
"Cut roses","Shipherd Nurseries Limited",2012,675,4205.25
"Cut roses","Van Berlo Limited",2012,154,959.42
"Cut roses","Van Lier Nurseries Ltd",2012,666,4149.18
"Ethanol","Anchor Ethanol Limited",2012,5699,35504.77
"Fresh capsicums","Appleby Fresh Limited",2012,28,174.44
"Fresh capsicums","Flat-Tac Capsicums Limited",2012,150,934.5
"Fresh capsicums","Gourmet Mokai Limited",2012,1721,10721.83
"Fresh capsicums","Gourmet Paprika Limited",2012,3520,21929.6
"Fresh capsicums","Harbour Head Growers Limited",2012,139,865.97
"Fresh capsicums","Homestead Produce Ltd",2012,606,3775.38
"Fresh capsicums","J.S.Ewers Ltd",2012,553,3445.19
"Fresh capsicums","Kipps' Patch Limited",2012,25,155.75
"Fresh capsicums","M.C.H. & J. van Geest Nurseries Limited",2012,195,1214.85
"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,13,80.99
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2012,33,205.59
"Fresh capsicums","Poppas Peppers 2009 Limited",2012,220,1370.6
"Fresh capsicums","Sinai Hort Limited",2012,371,2311.33
"Fresh capsicums","Southern Paprika Limited",2012,4998,31137.54
"Fresh capsicums","Under Glass (Bombay) Ltd",2012,200,1246
"Fresh capsicums","Under Glass (Karaka) Limited",2012,768,4784.64
"Fresh capsicums","Whakatane Growers Limited",2012,705,4392.15
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2012,297,1850.31
"Fresh cucumbers","Balvinder Singh, Pawan Kumari Singh",2012,122,760.06
"Fresh cucumbers","Exception Limited",2012,1944,12111.12
"Fresh cucumbers","Hanna Hothouses Ltd",2012,225,1401.75
"Fresh cucumbers","Hope Hot House Ltd",2012,89,554.47
"Fresh cucumbers","J.S.Ewers Ltd",2012,106,660.38
"Fresh cucumbers","Jai Shankar Growers Limited",2012,197,1227.31
"Fresh cucumbers","Karaka Park Produce Limited",2012,426,2653.98
"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,12,74.76
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2012,1143,7120.89
"Fresh cucumbers","Parkgard Growers 2000 Limited",2012,47,292.81
"Fresh cucumbers","PFD Produce Limited",2012,153,953.19
"Fresh cucumbers","Sharma Produce Limited",2012,518,3227.14
"Fresh cucumbers","Under Glass (Bombay) Ltd",2012,1567,9762.41
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2012,6,37.38
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2012,119,741.37
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2012,155,965.65
"Fresh tomatoes","Castle Rock Orchard Ltd",2012,292,1819.16
"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",2012,31,193.13
"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",2012,16,99.68
"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",2012,1,6.23
"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",2012,56,348.88
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2012,16,99.68
"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",2012,305,1900.15
"Fresh tomatoes","Gordon Edward Hackett",2012,10,62.3
"Fresh tomatoes","Gourmet Mokai Limited",2012,1457,9077.11
"Fresh tomatoes","Great Lake Tomatoes Limited",2012,2001,12466.23
"Fresh tomatoes","Hanna Hothouses Ltd",2012,292,1819.16
"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",2012,312,1943.76
"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",2012,66,411.18
"Fresh tomatoes","IL KYU AHN",2012,65,404.95
"Fresh tomatoes","J.S.Ewers Ltd",2012,2460,15325.8
"Fresh tomatoes","Jae Young Hong, Sun Young Park",2012,66,411.18
"Fresh tomatoes","Jai Shankar Growers Limited",2012,15,93.45
"Fresh tomatoes","Ji-Im Park, Won Ha Park",2012,37,230.51
"Fresh tomatoes","Karamea Tomatoes Limited",2012,299,1862.77
"Fresh tomatoes","Kingbridge Ltd",2012,45,280.35
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2012,34,211.82
"Fresh tomatoes","Lee Wang Hothouse Limited",2012,83,517.09
"Fresh tomatoes","Lycopene Fresh Vegefruit LTD",2012,35,218.05
"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",2012,11,68.53
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2012,79,492.17
"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",2012,282,1756.86
"Fresh tomatoes","New Zealand Fresh Floria Limited",2012,26,161.98
"Fresh tomatoes","Nortonta Limited",2012,471,2934.33
"Fresh tomatoes","P H Kinzett Ltd",2012,624,3887.52
"Fresh tomatoes","Parkgard Growers 2000 Limited",2012,60,373.8
"Fresh tomatoes","Pomoana Gardens Limited",2012,119,741.37
"Fresh tomatoes","Rembrandt van Rijen Limited",2012,1183,7370.09
"Fresh tomatoes","Status Produce Limited",2012,6753,42071.19
"Fresh tomatoes","Ting-Yuan Robert Wu",2012,71,442.33
"Fresh tomatoes","Tiny Toms Limited",2012,64,398.72
"Fresh tomatoes","Under Glass (Bombay) Ltd",2012,1611,10036.53
"Fresh tomatoes","Under Glass (Karaka) Limited",2012,2568,15998.64
"Fresh tomatoes","Vege Fresh Growers Limited",2012,133,828.59
"Gelatine","GELITA NZ Ltd",2012,2917,18172.91
"Glass containers","ACI OPERATIONS NZ LIMITED",2012,32992,205540.16
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2012,10081,62804.63
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2012,1003730,6253237.9
"Lactose","Fonterra Ltd",2012,25210,157058.3
"Market pulp","Oji Fibre Solutions (NZ) Limited",2012,145839,908576.97
"Market pulp","Pan Pac Forest Products Limited",2012,108047,673132.81
"Market pulp","Winstone Pulp International Limited",2012,87125,542788.75
"Methanol","Methanex New Zealand Ltd",2012,390325,2431724.75
"Newsprint","Norske Skog Tasman Ltd",2012,215711,1343879.53
"Packaging and industrial paper","Carter Holt Harvey Ltd",2012,21198,132063.54
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2012,114228,711640.44
"Protein meal","Affco New Zealand Limited",2012,5800,36134
"Protein meal","Alliance Group Limited",2012,6325,39404.75
"Protein meal","Blue Sky Meats (N.Z.) Limited",2012,402,2504.46
"Protein meal","CMP Canterbury Limited",2012,3056,19038.88
"Protein meal","CMP Kokiri Limited",2012,732,4560.36
"Protein meal","Farm Brands Limited",2012,3109,19369.07
"Protein meal","Graeme Lowe Protein Limited",2012,4860,30277.8
"Protein meal","Kakariki Proteins Limited",2012,509,3171.07
"Protein meal","Keep It Clean Limited",2012,1511,9413.53
"Protein meal","Prime Range Meats Limited",2012,491,3058.93
"Protein meal","PVL Proteins Limited",2012,2368,14752.64
"Protein meal","Silver Fern Farms Limited",2012,5423,33785.29
"Protein meal","Taylor Preston Limited",2012,1193,7432.39
"Protein meal","Tegel Foods Limited",2012,745,4641.35
"Protein meal","Value Proteins Ltd",2012,1026,6391.98
"Protein meal","Wallace Corporation Limited",2012,7388,46027.24
"Reconstituted wood panels","Carter Holt Harvey Ltd",2012,1067,6647.41
"Reconstituted wood panels","Daiken New Zealand Limited",2012,9181,57197.63
"Reconstituted wood panels","Dongwha New Zealand Limited",2012,8327,51877.21
"Reconstituted wood panels","Fletcher Building Products Limited",2012,1784,11114.32
"Reconstituted wood panels","Juken New Zealand Ltd",2012,3939,24539.97
"Reconstituted wood panels","Nelson Pine Industries Limited",2012,15449,96247.27
"Tissue paper","Asaleo Care New Zealand Limited",2012,18463,115024.49
"Whey powder","Fonterra Ltd",2012,970,6043.1
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2013,1524172,2956893.68
"Burnt lime","Graymont (NZ) Limited",2013,114351,221840.94
"Burnt lime","Holcim (New Zealand) Limited",2013,8310,16121.4
"Burnt lime","Perry Lime Limited",2013,5522,10712.68
"Burnt lime","Websters Hydrated Lime Company Limited",2013,2650,5141
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2013,164361,318860.34
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2013,40866,79280.04
"Cartonboard","Whakatane Mill Limited",2013,80639,156439.66
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2013,10008,19415.52
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2013,282371,547799.74
"Cementitious products","Holcim (New Zealand) Limited",2013,184204,357355.76
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2013,3135,6081.9
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2013,76,147.44
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2013,26,50.44
"Cut roses","Franko Roses New Zealand Limited",2013,105,203.7
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",2013,41,79.54
"Cut roses","Moffatts Flower Company Limited",2013,846,1641.24
"Cut roses","Riverland Holdings Limited",2013,442,857.48
"Cut roses","Royal Roses Limited",2013,41,79.54
"Cut roses","Shipherd Nurseries Limited",2013,792,1536.48
"Cut roses","Van Berlo Limited",2013,137,265.78
"Cut roses","Van Lier Nurseries Ltd",2013,603,1169.82
"Ethanol","Anchor Ethanol Limited",2013,6361,12340.34
"Fresh capsicums","Appleby Fresh Limited",2013,25,48.5
"Fresh capsicums","Flat-Tac Capsicums Limited",2013,153,296.82
"Fresh capsicums","Gourmet Mokai Limited",2013,1851,3590.94
"Fresh capsicums","Gourmet Paprika Limited",2013,3342,6483.48
"Fresh capsicums","Gourmet Waiuku Limited",2013,391,758.54
"Fresh capsicums","Harbour Head Growers Limited",2013,128,248.32
"Fresh capsicums","Homestead Produce Ltd",2013,534,1035.96
"Fresh capsicums","J.S.Ewers Ltd",2013,691,1340.54
"Fresh capsicums","Kipps' Patch Limited",2013,33,64.02
"Fresh capsicums","Maria Anna Van der Gulik, Pieter Van der Gulik",2013,6,11.64
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2013,20,38.8
"Fresh capsicums","Poppas Peppers 2009 Limited",2013,250,485
"Fresh capsicums","Sinai Hort Limited",2013,390,756.6
"Fresh capsicums","Southern Paprika Limited",2013,5298,10278.12
"Fresh capsicums","Under Glass (Bombay) Ltd",2013,374,725.56
"Fresh capsicums","Under Glass (Karaka) Limited",2013,488,946.72
"Fresh capsicums","Whakatane Growers Limited",2013,791,1534.54
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2013,279,541.26
"Fresh cucumbers","Exception Limited",2013,1980,3841.2
"Fresh cucumbers","Hanna Hothouses Ltd",2013,215,417.1
"Fresh cucumbers","J.S.Ewers Ltd",2013,12,23.28
"Fresh cucumbers","Jai Shankar Growers Limited",2013,198,384.12
"Fresh cucumbers","Karaka Park Produce Limited",2013,457,886.58
"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",2013,20,38.8
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2013,1335,2589.9
"Fresh cucumbers","Parkgard Growers 2000 Limited",2013,57,110.58
"Fresh cucumbers","Sharma Produce Limited",2013,519,1006.86
"Fresh cucumbers","Under Glass (Bombay) Ltd",2013,1490,2890.6
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2013,9,17.46
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2013,129,250.26
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2013,129,250.26
"Fresh tomatoes","Castle Rock Orchard Ltd",2013,268,519.92
"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",2013,9,17.46
"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",2013,2,3.88
"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",2013,50,97
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2013,27,52.38
"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",2013,246,477.24
"Fresh tomatoes","Gourmet Mokai Limited",2013,1627,3156.38
"Fresh tomatoes","Great Lake Tomatoes Limited",2013,2325,4510.5
"Fresh tomatoes","Hanna Hothouses Ltd",2013,269,521.86
"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",2013,61,118.34
"Fresh tomatoes","IL KYU AHN",2013,54,104.76
"Fresh tomatoes","J.S.Ewers Ltd",2013,2200,4268
"Fresh tomatoes","Jae Young Hong, Sun Young Park",2013,51,98.94
"Fresh tomatoes","Jai Shankar Growers Limited",2013,15,29.1
"Fresh tomatoes","Ji-Im Park, Won Ha Park",2013,38,73.72
"Fresh tomatoes","Karamea Tomatoes Limited",2013,343,665.42
"Fresh tomatoes","Kingbridge Ltd",2013,58,112.52
"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",2013,37,71.78
"Fresh tomatoes","Lee Wang Hothouse Limited",2013,74,143.56
"Fresh tomatoes","Lycopene Fresh Vegefruit LTD",2013,30,58.2
"Fresh tomatoes","Maria Anna Van der Gulik, Pieter Van der Gulik",2013,15,29.1
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2013,79,153.26
"Fresh tomatoes","New Zealand Fresh Floria Limited",2013,37,71.78
"Fresh tomatoes","Nortonta Limited",2013,457,886.58
"Fresh tomatoes","P H Kinzett Ltd",2013,761,1476.34
"Fresh tomatoes","Parkgard Growers 2000 Limited",2013,51,98.94
"Fresh tomatoes","Pomoana Gardens Limited",2013,124,240.56
"Fresh tomatoes","Rembrandt van Rijen Limited",2013,1219,2364.86
"Fresh tomatoes","Status Produce Limited",2013,6801,13193.94
"Fresh tomatoes","Ting-Yuan Robert Wu",2013,70,135.8
"Fresh tomatoes","Tiny Toms Limited",2013,51,98.94
"Fresh tomatoes","Under Glass (Bombay) Ltd",2013,1353,2624.82
"Fresh tomatoes","Under Glass (Karaka) Limited",2013,3163,6136.22
"Fresh tomatoes","Vege Fresh Growers Limited",2013,199,386.06
"Gelatine","GELITA NZ Ltd",2013,3068,5951.92
"Glass containers","ACI OPERATIONS NZ LIMITED",2013,35803,69457.82
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2013,10330,20040.2
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2013,1029352,1996942.88
"Lactose","Fonterra Ltd",2013,28140,54591.6
"Market pulp","Oji Fibre Solutions (NZ) Limited",2013,150842,292633.48
"Market pulp","Pan Pac Forest Products Limited",2013,114805,222721.7
"Market pulp","Winstone Pulp International Limited",2013,89763,174140.22
"Methanol","Methanex New Zealand Ltd",2013,502969,975759.86
"Newsprint","Norske Skog Tasman Ltd",2013,125162,242814.28
"Packaging and industrial paper","Carter Holt Harvey Ltd",2013,21815,42321.1
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2013,125301,243083.94
"Protein meal","Affco New Zealand Limited",2013,6640,12881.6
"Protein meal","Alliance Group Limited",2013,6133,11898.02
"Protein meal","Blue Sky Meats (N.Z.) Limited",2013,405,785.7
"Protein meal","CMP Canterbury Limited",2013,3298,6398.12
"Protein meal","CMP Kokiri Limited",2013,479,929.26
"Protein meal","Farm Brands Limited",2013,3833,7436.02
"Protein meal","Graeme Lowe Protein Limited",2013,5655,10970.7
"Protein meal","Kakariki Proteins Limited",2013,739,1433.66
"Protein meal","Keep It Clean Limited",2013,1613,3129.22
"Protein meal","Prime Range Meats Limited",2013,407,789.58
"Protein meal","PVL Proteins Limited",2013,2340,4539.6
"Protein meal","Silver Fern Farms Limited",2013,2954,5730.76
"Protein meal","Taylor Preston Limited",2013,1238,2401.72
"Protein meal","Tegel Foods Limited",2013,785,1522.9
"Protein meal","Value Proteins Ltd",2013,1375,2667.5
"Protein meal","Wallace Corporation Limited",2013,8079,15673.26
"Reconstituted wood panels","Carter Holt Harvey Ltd",2013,777,1507.38
"Reconstituted wood panels","Daiken New Zealand Limited",2013,8864,17196.16
"Reconstituted wood panels","Dongwha New Zealand Limited",2013,8250,16005
"Reconstituted wood panels","Fletcher Building Products Limited",2013,1705,3307.7
"Reconstituted wood panels","Juken New Zealand Ltd",2013,3998,7756.12
"Reconstituted wood panels","Nelson Pine Industries Limited",2013,15937,30917.78
"Tissue paper","Asaleo Care New Zealand Limited",2013,18517,35922.98
"Whey powder","Fonterra Ltd",2013,622,1206.68
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2014,755987,3084426.96
"Burnt lime","Graymont (NZ) Limited",2014,128973,526209.84
"Burnt lime","Holcim (New Zealand) Limited",2014,9449,38551.92
"Burnt lime","Perry Lime Limited",2014,845,3447.6
"Burnt lime","Websters Hydrated Lime Company Limited",2014,3169,12929.52
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2014,198469,809753.52
"Carbon steel from cold ferrous feed","Fletcher Steel Limited",2014,50488,205991.04
"Carbon steel from cold ferrous feed","Pacific Steel (NZ) Limited",2014,9342,38115.36
"Cartonboard","Whakatane Mill Limited",2014,79866,325853.28
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2014,10463,42689.04
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2014,322430,1315514.4
"Cementitious products","Holcim (New Zealand) Limited",2014,183263,747713.04
"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",2014,2418,9865.44
"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",2014,53,216.24
"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",2014,20,81.6
"Cut roses","Franko Roses New Zealand Limited",2014,57,232.56
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead",2014,45,183.6
"Cut roses","Moffatts Flower Company Limited",2014,884,3606.72
"Cut roses","Riverland Holdings Limited",2014,378,1542.24
"Cut roses","Royal Roses Limited",2014,42,171.36
"Cut roses","Shipherd Nurseries Limited",2014,939,3831.12
"Cut roses","Van Berlo Limited",2014,158,644.64
"Cut roses","Van Lier Nurseries Ltd",2014,577,2354.16
"Ethanol","Anchor Ethanol Limited",2014,6191,25259.28
"Fresh capsicums","Flat-Tac Capsicums Limited",2014,162,660.96
"Fresh capsicums","Gourmet Mokai Limited",2014,1875,7650
"Fresh capsicums","Gourmet Paprika Limited",2014,3300,13464
"Fresh capsicums","Gourmet Waiuku Limited",2014,1308,5336.64
"Fresh capsicums","Harbour Head Growers Limited",2014,138,563.04
"Fresh capsicums","Homestead Produce Ltd",2014,643,2623.44
"Fresh capsicums","J.S.Ewers Ltd",2014,613,2501.04
"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",2014,21,85.68
"Fresh capsicums","Poppas Peppers 2009 Limited",2014,240,979.2
"Fresh capsicums","Sinai Hort Limited",2014,377,1538.16
"Fresh capsicums","Southern Paprika Limited",2014,6351,25912.08
"Fresh capsicums","Taaza Green Limited",2014,76,310.08
"Fresh capsicums","Under Glass (Bombay) Ltd",2014,884,3606.72
"Fresh capsicums","Whakatane Growers Limited",2014,872,3557.76
"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",2014,416,1697.28
"Fresh cucumbers","Exception Limited",2014,3018,12313.44
"Fresh cucumbers","Hanna Hothouses Ltd",2014,207,844.56
"Fresh cucumbers","Island Horticulture Limited",2014,759,3096.72
"Fresh cucumbers","Karaka Park Produce Limited",2014,529,2158.32
"Fresh cucumbers","Marion Matthews, Troy Jonathan Matthews",2014,22,89.76
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2014,1423,5805.84
"Fresh cucumbers","Sharma Produce Limited",2014,540,2203.2
"Fresh cucumbers","Under Glass (Bombay) Ltd",2014,1587,6474.96
"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",2014,6,24.48
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2014,147,599.76
