"Activity","Applicant","Year","Allocation","Value"
"Fresh tomatoes","Castle Rock Orchard Ltd",2017,466,7903.36
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2017,49,831.04
"Fresh tomatoes","Gourmet Mokai Limited",2017,2823,47878.08
"Fresh tomatoes","J.S.Ewers Ltd",2017,3828,64922.88
"Fresh tomatoes","Jai Shankar Growers Limited",2017,203,3442.88
"Fresh tomatoes","Karamea Tomatoes Limited",2017,464,7869.44
"Fresh tomatoes","Kingbridge Ltd",2017,57,966.72
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2017,115,1950.4
"Fresh tomatoes","New Zealand Fresh Floria Limited",2017,37,627.52
"Fresh tomatoes","Nortonta Limited",2017,293,4969.28
"Fresh tomatoes","P H Kinzett Ltd",2017,1101,18672.96
"Fresh tomatoes","Parkgard Growers 2000 Limited",2017,63,1068.48
"Fresh tomatoes","Pomoana Gardens Limited",2017,158,2679.68
"Fresh tomatoes","Status Produce Limited",2017,12703,215442.88
"Fresh tomatoes","Tiny Toms Limited",2017,83,1407.68
"Fresh tomatoes","Under Glass (Bombay) Ltd",2017,2861,48522.56
"Fresh tomatoes","Under Glass (Karaka) Limited",2017,5698,96638.08
"Fresh tomatoes","Vege Fresh Growers Limited",2017,559,9480.64
"Gelatine","GELITA NZ Ltd",2017,3990,67670.4
"Glass containers","ACI OPERATIONS NZ LIMITED",2017,47112,799019.52
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2017,15204,257859.84
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2017,1432496,24295132.16
"Iron and steel manufacturing from iron sand","Pacific Steel (NZ) Limited",2017,18757,318118.72
"Lactose","Fonterra Limited",2017,39574,671175.04
"Market pulp","Oji Fibre Solutions (NZ) Limited",2017,198546,3367340.16
"Market pulp","Pan Pac Forest Products Limited",2017,173440,2941542.4
"Market pulp","Winstone Pulp International Limited",2017,122701,2081008.96
"Methanol","Methanex New Zealand Ltd",2017,918041,15569975.36
"Newsprint","Norske Skog Tasman Ltd",2017,161133,2732815.68
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2017,182091,3088263.36
"Protein meal","Affco New Zealand Limited",2017,8035,136273.6
"Protein meal","Alliance Group Limited",2017,8075,136952
"Protein meal","Blue Sky Meats (N.Z.) Limited",2017,544,9226.24
"Protein meal","CMP Canterbury Limited",2017,3873,65686.08
"Protein meal","Farm Brands Limited",2017,3956,67093.76
"Protein meal","Graeme Lowe Protein Limited",2017,180,3052.8
"Protein meal","Hawkes Bay Protein Limited",2017,4320,73267.2
"Protein meal","Kakariki Proteins Limited",2017,1131,19181.76
"Protein meal","Keep It Clean Limited",2017,1524,25847.04
"Protein meal","Prime Range Meats Limited",2017,425,7208
"Protein meal","PVL Proteins Limited",2017,3129,53067.84
"Protein meal","Taranaki By-Products Ltd",2017,12140,205894.4
"Protein meal","Taylor Preston Limited",2017,1139,19317.44
"Protein meal","Tegel Foods Limited",2017,1234,20928.64
"Protein meal","Tuakau Proteins Ltd",2017,8965,152046.4
"Protein meal","Value Proteins Ltd",2017,1236,20962.56
"Protein meal","Wallace Corporation Limited",2017,11767,199568.32
"Protein meal","Wallace Group Limited Partnership",2017,1749,29663.04
"Reconstituted wood panels","Daiken New Zealand Limited",2017,13623,231046.08
"Reconstituted wood panels","Dongwha New Zealand Limited",2017,13021,220836.16
"Reconstituted wood panels","Fletcher Building Products Limited",2017,2713,46012.48
"Reconstituted wood panels","Juken New Zealand Ltd",2017,4835,82001.6
"Reconstituted wood panels","Nelson Pine Industries Limited",2017,21351,362112.96
"Tissue paper","Asaleo Care New Zealand Limited",2017,22986,389842.56
"Whey powder","Fonterra Limited",2017,4077,69145.92
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2018,1324556,28186551.68
"Burnt lime","Graymont (NZ) Limited",2018,144405,3072938.4
"Burnt lime","Websters Hydrated Lime Company Limited",2018,5999,127658.72
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2018,325594,6928640.32
"Cartonboard","Whakatane Mill Limited",2018,139690,2972603.2
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2018,15253,324583.84
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2018,584032,12428200.96
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead",2018,79,1681.12
"Cut roses","Moffatts Flower Company Limited",2018,1182,25152.96
"Cut roses","Royal Roses Limited",2018,66,1404.48
"Cut roses","Shipherd Nurseries Limited",2018,1900,40432
"Cut roses","Van Lier Nurseries Ltd",2018,1123,23897.44
"Ethanol","Anchor Ethanol Limited",2018,10784,229483.52
"Fresh capsicums","Gourmet Mokai Limited",2018,2571,54710.88
"Fresh capsicums","Gourmet Paprika Limited",2018,4837,102931.36
"Fresh capsicums","Gourmet Waiuku Limited",2018,2190,46603.2
"Fresh capsicums","Harbour Head Growers Ltd",2018,261,5554.08
"Fresh capsicums","Homestead Produce Ltd",2018,881,18747.68
"Fresh capsicums","J.S.Ewers Ltd",2018,1058,22514.24
"Fresh capsicums","Poppas Peppers 2009 Limited",2018,351,7469.28
"Fresh capsicums","Sinai Hort Limited",2018,604,12853.12
"Fresh capsicums","Southern Paprika Limited",2018,10406,221439.68
"Fresh capsicums","Taaza Green Limited",2018,337,7171.36
"Fresh capsicums","Whakatane Growers Limited",2018,1393,29643.04
"Fresh cucumbers","Exception Limited",2018,11618,247231.04
"Fresh cucumbers","Island Horticulture Limited",2018,1717,36537.76
"Fresh cucumbers","J.S. Mahey Limited",2018,599,12746.72
"Fresh cucumbers","Jai Shankar Growers Limited",2018,603,12831.84
"Fresh cucumbers","Karaka Park Produce Limited",2018,1169,24876.32
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2018,1080,22982.4
"Fresh cucumbers","Parkgard Growers 2000 Limited",2018,161,3426.08
"Fresh cucumbers","Sharma Produce Limited",2018,2677,56966.56
"Fresh cucumbers","Under Glass (Bombay) Ltd",2018,2519,53604.32
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2018,210,4468.8
"Fresh tomatoes","Castle Rock Orchard Ltd",2018,564,12001.92
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2018,37,787.36
"Fresh tomatoes","Gourmet Mokai Limited",2018,4435,94376.8
"Fresh tomatoes","J.S.Ewers Ltd",2018,4795,102037.6
"Fresh tomatoes","Jai Shankar Growers Limited",2018,325,6916
"Fresh tomatoes","Karamea Tomatoes Limited",2018,526,11193.28
"Fresh tomatoes","Kingbridge Ltd",2018,61,1298.08
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2018,143,3043.04
"Fresh tomatoes","P H Kinzett Ltd",2018,1344,28600.32
"Fresh tomatoes","Parkgard Growers 2000 Limited",2018,61,1298.08
"Fresh tomatoes","Pomoana Gardens Limited",2018,100,2128
"Fresh tomatoes","Status Produce Limited",2018,15496,329754.88
"Fresh tomatoes","Ting-Yuan Robert Wu",2018,239,5085.92
"Fresh tomatoes","Under Glass (Bombay) Ltd",2018,3675,78204
"Fresh tomatoes","Under Glass (Karaka) Limited",2018,7574,161174.72
"Fresh tomatoes","Vege Fresh Growers Limited",2018,1075,22876
"Gelatine","GELITA NZ Ltd",2018,29,617.12
"Glass containers","ACI OPERATIONS NZ LIMITED",2018,59945,1275629.6
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2018,18443,392467.04
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2018,1782366,37928748.48
"Iron and steel manufacturing from iron sand","Pacific Steel (NZ) Limited",2018,19550,416024
"Lactose","Fonterra Limited",2018,44739,952045.92
"Market pulp","Oji Fibre Solutions (NZ) Limited",2018,247315,5262863.2
"Market pulp","Pan Pac Forest Products Limited",2018,210652,4482674.56
"Market pulp","Winstone Pulp International Limited",2018,151546,3224898.88
"Methanol","Methanex New Zealand Ltd",2018,945210,20114068.8
"Newsprint","Norske Skog Tasman Ltd",2018,200556,4267831.68
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2018,221754,4718925.12
"Protein meal","Affco New Zealand Limited",2018,9465,201415.2
"Protein meal","Alliance Group Limited",2018,10012,213055.36
"Protein meal","Blue Sky Meats (N.Z.) Limited",2018,656,13959.68
"Protein meal","CMP Canterbury Limited",2018,5470,116401.6
"Protein meal","Graeme Lowe Protein Limited",2018,198,4213.44
"Protein meal","Hawkes Bay Protein Limited",2018,5740,122147.2
"Protein meal","Kakariki Proteins Limited",2018,2037,43347.36
"Protein meal","Prime Range Meats Limited",2018,928,19747.84
"Protein meal","PVL Proteins Limited",2018,3632,77288.96
"Protein meal","Taranaki By-Products Ltd",2018,14197,302112.16
"Protein meal","Taylor Preston Limited",2018,1104,23493.12
"Protein meal","Tegel Foods Limited",2018,1632,34728.96
"Protein meal","Tuakau Proteins Ltd",2018,11393,242443.04
"Protein meal","Value Proteins Ltd",2018,1581,33643.68
"Protein meal","Wallace Group Limited Partnership",2018,26539,564749.92
"Reconstituted wood panels","Daiken New Zealand Limited",2018,17770,378145.6
"Reconstituted wood panels","Dongwha New Zealand Limited",2018,16854,358653.12
"Reconstituted wood panels","Fletcher Building Products Limited",2018,3344,71160.32
"Reconstituted wood panels","Juken New Zealand Ltd",2018,5304,112869.12
"Reconstituted wood panels","Nelson Pine Industries Limited",2018,26569,565388.32
"Tissue paper","Asaleo Care New Zealand Limited",2018,29419,626036.32
"Whey powder","Fonterra Limited",2018,5925,126084
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2019,1697437,42928181.73
"Burnt lime","Graymont (NZ) Limited",2019,169455,4285516.95
"Burnt lime","Websters Hydrated Lime Company Limited",2019,8342,210969.18
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2019,330233,8351592.57
"Cartonboard","Whakatane Mill Limited",2019,167075,4225326.75
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2019,16077,406587.33
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2019,689425,17435558.25
"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead",2019,89,2250.81
"Cut roses","Moffatts Flower Company Limited",2019,1319,33357.51
"Cut roses","Royal Roses Limited",2019,72,1820.88
"Cut roses","Shipherd Nurseries Limited",2019,2373,60013.17
"Cut roses","Van Lier Nurseries Ltd",2019,1438,36367.02
"Ethanol","Anchor Ethanol Limited",2019,12107,306186.03
"Fresh capsicums","Gourmet Mokai Limited",2019,2986,75515.94
"Fresh capsicums","Gourmet Paprika Limited",2019,5541,140131.89
"Fresh capsicums","Gourmet Waiuku Limited",2019,2817,71241.93
"Fresh capsicums","Harbour Head Growers Ltd",2019,346,8750.34
"Fresh capsicums","J.S.Ewers Ltd",2019,1352,34192.08
"Fresh capsicums","Poppas Peppers 2009 Limited",2019,406,10267.74
"Fresh capsicums","Sinai Hort Limited",2019,659,16666.11
"Fresh capsicums","Southern Paprika Limited",2019,13156,332715.24
"Fresh capsicums","Taaza Green Limited",2019,408,10318.32
"Fresh capsicums","Whakatane Growers Limited",2019,1795,45395.55
"Fresh cucumbers","Exception Limited",2019,14554,368070.66
"Fresh cucumbers","Island Horticulture Limited",2019,2119,53589.51
"Fresh cucumbers","J.S. Mahey Limited",2019,880,22255.2
"Fresh cucumbers","Jai Shankar Growers Limited",2019,765,19346.85
"Fresh cucumbers","Karaka Park Produce Limited",2019,1519,38415.51
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2019,1029,26023.41
"Fresh cucumbers","Parkgard Growers 2000 Limited",2019,179,4526.91
"Fresh cucumbers","Sharma Produce Limited",2019,3128,79107.12
"Fresh cucumbers","Under Glass (Bombay) Ltd",2019,3767,95267.43
"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",2019,177,4476.33
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2019,372,9407.88
"Fresh tomatoes","Castle Rock Orchard Ltd",2019,585,14794.65
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2019,39,986.31
"Fresh tomatoes","Gourmet Mokai Limited",2019,5570,140865.3
"Fresh tomatoes","J.S.Ewers Ltd",2019,5659,143116.11
"Fresh tomatoes","Jai Shankar Growers Limited",2019,374,9458.46
"Fresh tomatoes","Karamea Tomatoes Limited",2019,611,15452.19
"Fresh tomatoes","Kingbridge Ltd",2019,28,708.12
"Fresh tomatoes","M.K Bhoondpal Limited",2019,135,3414.15
"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",2019,171,4324.59
"Fresh tomatoes","P H Kinzett Ltd",2019,1721,43524.09
"Fresh tomatoes","Parkgard Growers 2000 Limited",2019,24,606.96
"Fresh tomatoes","Pomoana Gardens Limited",2019,106,2680.74
"Fresh tomatoes","Ting-Yuan Robert Wu",2019,290,7334.1
"Fresh tomatoes","Tiny Toms Limited",2019,99,2503.71
"Fresh tomatoes","Turners & Growers Fresh Limited",2019,19111,483317.19
"Fresh tomatoes","Under Glass (Bombay) Ltd",2019,2927,74023.83
"Fresh tomatoes","Under Glass (Karaka) Limited",2019,10398,262965.42
"Fresh tomatoes","Vege Fresh Growers Limited",2019,1440,36417.6
"Glass containers","ACI OPERATIONS NZ LIMITED",2019,68029,1720453.41
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2019,22645,572692.05
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2019,2118983,53589080.07
"Iron and steel manufacturing from iron sand","Pacific Steel (NZ) Limited",2019,23287,588928.23
"Lactose","Fonterra Limited",2019,51787,1309693.23
"Market pulp","Oji Fibre Solutions (NZ) Limited",2019,306748,7757656.92
"Market pulp","Pan Pac Forest Products Limited",2019,230382,5826360.78
"Market pulp","Winstone Pulp International Limited",2019,201485,5095555.65
"Methanol","Methanex New Zealand Ltd",2019,1318490,33344612.1
"Newsprint","Norske Skog Tasman Ltd",2019,238342,6027669.18
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2019,267576,6766997.04
"Protein meal","Affco New Zealand Limited",2019,11761,297435.69
"Protein meal","Alliance Group Limited",2019,10979,277658.91
"Protein meal","Blue Sky Meats (N.Z.) Limited",2019,1133,28653.57
"Protein meal","CMP Canterbury Limited",2019,6771,171238.59
"Protein meal","Graeme Lowe Protein Limited",2019,265,6701.85
"Protein meal","Hawkes Bay Protein Limited",2019,8062,203887.98
"Protein meal","Kakariki Proteins Limited",2019,3011,76148.19
"Protein meal","Prime Range Meats Limited",2019,254,6423.66
"Protein meal","PVL Proteins Limited",2019,4448,112489.92
"Protein meal","Taranaki By-Products Ltd",2019,18965,479624.85
"Protein meal","Taylor Preston Limited",2019,822,20788.38
"Protein meal","Tegel Foods Limited",2019,1762,44560.98
"Protein meal","Tuakau Proteins Ltd",2019,16056,406056.24
"Protein meal","Value Proteins Ltd",2019,1785,45142.65
"Protein meal","Wallace Group Limited Partnership",2019,26797,677696.13
"Reconstituted wood panels","Daiken New Zealand Limited",2019,20362,514954.98
"Reconstituted wood panels","Daiken Southland Limited",2019,19505,493281.45
"Reconstituted wood panels","Fletcher Building Products Limited",2019,3305,83583.45
"Reconstituted wood panels","Juken New Zealand Ltd",2019,5966,150880.14
"Reconstituted wood panels","Nelson Pine Industries Limited",2019,29092,735736.68
"Tissue paper","Asaleo Care New Zealand Limited",2019,35836,906292.44
"Whey powder","Fonterra Limited",2019,5403,136641.87
"Aluminium smelting","New Zealand Aluminium Smelters Limited",2020,1558268,38707377.12
"Burnt lime","Graymont (NZ) Limited",2020,145002,3601849.68
"Burnt lime","Websters Hydrated Lime Company Limited",2020,5287,131329.08
"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",2020,349257,8675543.88
"Cartonboard","Whakatane Mill Limited",2020,169786,4217484.24
"Caustic soda","Oji Fibre Solutions (NZ) Limited",2020,12669,314697.96
"Cementitious products","Fletcher Concrete and Infrastructure Limited",2020,640351,15906318.84
"Cut roses","Blooming Hill Flowers Ltd",2020,2189,54374.76
"Cut roses","Moffatts Flower Company Limited",2020,587,14581.08
"Cut roses","Multus Inparvo Limited",2020,34,844.56
"Cut roses","Royal Roses Limited",2020,61,1515.24
"Cut roses","Van Lier Nurseries Ltd",2020,1065,26454.6
"Ethanol","Lactanol Limited",2020,10198,253318.32
"Fresh capsicums","Gourmet Mokai Limited",2020,2979,73998.36
"Fresh capsicums","Gourmet Paprika Limited",2020,6909,171619.56
"Fresh capsicums","Gourmet Waiuku Limited",2020,2739,68036.76
"Fresh capsicums","Harbour Head Growers Ltd",2020,346,8594.64
"Fresh capsicums","J.S.Ewers Ltd",2020,1354,33633.36
"Fresh capsicums","Southern Paprika Limited",2020,14233,353547.72
"Fresh capsicums","Taaza Green Limited",2020,367,9116.28
"Fresh capsicums","Whakatane Growers Limited",2020,1852,46003.68
"Fresh cucumbers","Island Horticulture Limited",2020,2239,55616.76
"Fresh cucumbers","J.S. Mahey Limited",2020,870,21610.8
"Fresh cucumbers","Jai Shankar Growers Limited",2020,806,20021.04
"Fresh cucumbers","Karaka Park Produce Limited",2020,2003,49754.52
"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",2020,1052,26131.68
"Fresh cucumbers","Parkgard Growers 2000 Limited",2020,210,5216.4
"Fresh cucumbers","Sharma Produce Limited",2020,3173,78817.32
"Fresh cucumbers","Under Glass (Bombay) Ltd",2020,2348,58324.32
"Fresh cucumbers","Under Glass (Karaka) Limited",2020,676,16791.84
"Fresh tomatoes","Brigitte Abma, Ferdinand Abma",2020,362,8992.08
"Fresh tomatoes","Castle Rock Orchard Ltd",2020,521,12941.64
"Fresh tomatoes","Eseta Kovati, Reupena Kovati",2020,43,1068.12
"Fresh tomatoes","Gourmet Mokai Limited",2020,5640,140097.6
"Fresh tomatoes","J.S.Ewers Ltd",2020,5753,142904.52
"Fresh tomatoes","Jai Shankar Growers Limited",2020,405,10060.2
"Fresh tomatoes","M.K Bhoondpal Limited",2020,151,3750.84
"Fresh tomatoes","P H Kinzett Ltd",2020,1788,44413.92
"Fresh tomatoes","Pomoana Gardens Limited",2020,93,2310.12
"Fresh tomatoes","Ting-Yuan Robert Wu",2020,302,7501.68
"Fresh tomatoes","Tiny Toms Limited",2020,95,2359.8
"Fresh tomatoes","Turners & Growers Fresh Limited",2020,19304,479511.36
"Fresh tomatoes","Under Glass (Bombay) Ltd",2020,3031,75290.04
"Fresh tomatoes","Under Glass (Karaka) Limited",2020,8809,218815.56
"Fresh tomatoes","Vege Fresh Growers Limited",2020,1561,38775.24
"Glass containers","ACI OPERATIONS NZ LIMITED",2020,65621,1630025.64
"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",2020,23708,588906.72
"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",2020,2030166,50429323.44
"Iron and steel manufacturing from iron sand","Pacific Steel (NZ) Limited",2020,23206,576437.04
"Lactose","Fonterra Limited",2020,53229,1322208.36
"Market pulp","Oji Fibre Solutions (NZ) Limited",2020,278907,6928049.88
"Market pulp","Pan Pac Forest Products Limited",2020,212436,5276910.24
"Market pulp","Winstone Pulp International Limited",2020,171889,4269722.76
"Methanol","Methanex New Zealand Ltd",2020,1181995,29360755.8
"Newsprint","Norske Skog Tasman Ltd",2020,202858,5038992.72
"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",2020,260505,6470944.2
"Protein meal","Affco New Zealand Limited",2020,12137,301483.08
"Protein meal","Alliance Group Limited",2020,11352,281983.68
"Protein meal","Blue Sky Meats (N.Z.) Limited",2020,1122,27870.48
"Protein meal","CMP Canterbury Limited",2020,6556,162851.04
"Protein meal","Graeme Lowe Protein Limited",2020,239,5936.76
"Protein meal","Hawkes Bay Protein Limited",2020,8645,214741.8
"Protein meal","Kakariki Proteins Limited",2020,3178,78941.52
"Protein meal","PVL Proteins Limited",2020,4606,114413.04
"Protein meal","Taranaki By-Products Ltd",2020,21427,532246.68
"Protein meal","Taylor Preston Limited",2020,1019,25311.96
"Protein meal","Tegel Foods Limited",2020,1797,44637.48
"Protein meal","Tuakau Proteins Ltd",2020,14268,354417.12
"Protein meal","Value Proteins Ltd",2020,1997,49605.48
"Protein meal","Wallace Group Limited Partnership",2020,16728,415523.52
"Protein meal","Wallace Proteins Limited",2020,6853,170228.52
"Reconstituted wood panels","Daiken New Zealand Limited",2020,19263,478492.92
"Reconstituted wood panels","Daiken Southland Limited",2020,18853,468308.52
"Reconstituted wood panels","Fletcher Building Products Limited",2020,2527,62770.68
"Reconstituted wood panels","Juken New Zealand Ltd",2020,5214,129515.76
"Reconstituted wood panels","Nelson Pine Industries Limited",2020,26027,646510.68
"Tissue paper","Asaleo Care New Zealand Limited",2020,34646,860606.64
"Whey powder","Fonterra Limited",2020,5980,148543.2
