"Year","Applicants.Name","Activity","Final.Unit.Entitlement"
2013,"New Zealand Aluminium Smelters Limited","Aluminium Smelting",1524172
2013,"Holcim (New Zealand) Limited","Burnt Lime",8310
2013,"McDonald's Lime Limited","Burnt Lime",114351
2013,"Perry Lime Limited","Burnt Lime",5522
2013,"Websters Hydrated Lime Company Limited","Burnt Lime",2650
2013,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide (Urea)",164361
2013,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",40866
2013,"Whakatane Mill Limited","Cartonboard",80639
2013,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",10168
2013,"Fletcher Concrete and Infrastructure Limited","Cementitious products",282371
2013,"Holcim (New Zealand) Limited","Cementitious products",184204
2013,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",3135
2013,"Franko Roses New Zealand Limited","Cut roses",105
2013,"Moffatts Flower Company Limited","Cut roses",846
2013,"Paul Gregory Whitehead, John Hamilton Falloon","Cut roses",41
2013,"Riverland Nurseries Limited","Cut roses",442
2013,"Royal Roses Limited","Cut roses",41
2013,"S and D Stocks","Cut roses",76
2013,"Shipherd Nurseries Limited","Cut roses",792
2013,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",26
2013,"Van Berlo Limited","Cut roses",137
2013,"Van Lier Nurseries Limited","Cut roses",603
2013,"Anchor Ethanol Limited","Ethanol",6361
2013,"Appleby Fresh Limited","Fresh Capsicums",25
2013,"Flat-Tac Capsicums Limited","Fresh Capsicums",153
2013,"Gourmet Mokai Limited","Fresh Capsicums",1851
2013,"Gourmet Paprika Limited","Fresh Capsicums",3342
2013,"Gourmet Waiuku Limited","Fresh Capsicums",391
2013,"Harbour Head Growers Limited","Fresh Capsicums",128
2013,"Homestead Produce Limited","Fresh Capsicums",534
2013,"J.S. Ewers Limited","Fresh Capsicums",691
2013,"Kipps' Patch Limited","Fresh Capsicums",33
2013,"M & T Matthews Partnership","Fresh Capsicums",20
2013,"Pieter and Maria Anna van der Gulik","Fresh Capsicums",6
2013,"Poppas Peppers 2009 Limited","Fresh Capsicums",250
2013,"Sinai Hort Limited","Fresh Capsicums",390
2013,"Southern Paprika Limited","Fresh Capsicums",5298
2013,"Under Glass (Bombay) Limited","Fresh Capsicums",374
2013,"Under Glass (Karaka) Limited","Fresh Capsicums",488
2013,"Whakatane Growers Limited","Fresh Capsicums",791
2013,"Alwyn Ernest & Anne Marie Inger","Fresh Cucumbers",279
2013,"Exception Limited","Fresh Cucumbers",1980
2013,"Hanna Hothouses Limited","Fresh Cucumbers",215
2013,"J.S. Ewers Limited","Fresh Cucumbers",12
2013,"Jai Shankar Growers Limited","Fresh Cucumbers",198
2013,"Karaka Park Produce Limited","Fresh Cucumbers",457
2013,"Parkgard Growers 2000 Limited","Fresh Cucumbers",57
2013,"Pieter and Maria Anna van der Gulik","Fresh Cucumbers",20
2013,"R K & M D Sharma","Fresh Cucumbers",1335
2013,"Sharma Produce Limited","Fresh Cucumbers",519
2013,"Under Glass (Bombay) Limited","Fresh Cucumbers",1490
2013,"A J & J E Ivicevich","Fresh Tomatoes",129
2013,"Castle Rock Orchard Limited","Fresh Tomatoes",268
2013,"Dong Hyuk Cha & Soo Hwan Cha","Fresh Tomatoes",2
2013,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh Tomatoes",9
2013,"F and B Abma","Fresh Tomatoes",129
2013,"Gourmet Mokai Limited","Fresh Tomatoes",1627
2013,"Graeme David Fair & Ann Christine Fair","Fresh Tomatoes",9
2013,"Great Lake Tomatoes Limited","Fresh Tomatoes",2325
2013,"Hanna Hothouses Limited","Fresh Tomatoes",269
2013,"Il Kyu Ahn","Fresh Tomatoes",54
2013,"J.S. Ewers Limited","Fresh Tomatoes",2200
2013,"Jae Young Hong, Sun Young Park","Fresh Tomatoes",51
2013,"Jai Shankar Growers Limited","Fresh Tomatoes",15
2013,"Karamea Tomatoes Limited","Fresh Tomatoes",343
2013,"Kingbridge Limited","Fresh Tomatoes",58
2013,"Kyoung Lae Lee, Hye Young Jung","Fresh Tomatoes",61
2013,"Lee Wang Hothouse Limited","Fresh Tomatoes",74
2013,"Lycopene Fresh Vegefruit Ltd","Fresh Tomatoes",30
2013,"MA & AM & EM Sanders Partnership","Fresh Tomatoes",246
2013,"New Zealand Fresh Floria Limited","Fresh Tomatoes",37
2013,"Nortonta Limited","Fresh Tomatoes",457
2013,"P H Kinzett Limited","Fresh Tomatoes",761
2013,"P J & M J Fausett Partnership","Fresh Tomatoes",79
2013,"Parkgard Growers 2000 Limited","Fresh Tomatoes",51
2013,"Pieter and Maria Anna van der Gulik","Fresh Tomatoes",15
2013,"Pomoana Gardens Limited","Fresh Tomatoes",124
2013,"Rembrandt van Rijen Limited","Fresh Tomatoes",1219
2013,"Reupena Kovati & Eseta Kovati","Fresh Tomatoes",27
2013,"Status Produce Limited","Fresh Tomatoes",6801
2013,"TA & DM Turner","Fresh Tomatoes",50
2013,"Ting-Yuan Robert Wu","Fresh Tomatoes",70
2013,"Tiny Toms Limited","Fresh Tomatoes",51
2013,"Under Glass (Bombay) Limited","Fresh Tomatoes",1353
2013,"Under Glass (Karaka) Limited","Fresh Tomatoes",3163
2013,"Vege Fresh Growers Limited","Fresh Tomatoes",199
2013,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh Tomatoes",37
2013,"Won Ha Park and Ji-Im Park","Fresh Tomatoes",38
2013,"GELITA NZ Limited","Gelatine",3068
2013,"ACI Operations NZ Limited","Glass Containers",35803
2013,"Evonik Peroxide Limited","Hydrogen Peroxide",10330
2013,"New Zealand Steel Development Limited","Iron and steel from iron sand",1029352
2013,"Fonterra Limited","Lactose",28140
2013,"Carter Holt Harvey Pulp & Paper Limited","Market Pulp",150842
2013,"Pan Pac Forest Products Limited","Market Pulp",114805
2013,"Winstone Pulp International Limited","Market Pulp",89679
2013,"Methanex New Zealand Limited","Methanol",499704
2013,"Norske Skog Tasman Limited","Newsprint",125162
2013,"Carter Holt Harvey Limited","Packaging and industrial paper",21815
2013,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",125301
2013,"AFFCO New Zealand Limited","Protein meal",6640
2013,"Alliance Group Limited","Protein meal",6133
2013,"Blue Sky Meats (NZ) Limited","Protein meal",405
2013,"CMP Canterbury Limited","Protein meal",3298
2013,"CMP Kokiri Limited","Protein meal",479
2013,"Farm Brands Limited","Protein meal",3833
2013,"Graeme Lowe Protein Limited","Protein meal",9338
2013,"Kakariki Proteins Limited","Protein meal",739
2013,"Keep It Clean Limited","Protein meal",1613
2013,"Prime Range Meats Limited","Protein meal",407
2013,"PVL Proteins Limited","Protein meal",2340
2013,"Silver Fern Farms Limited","Protein meal",2954
2013,"Taylor Preston Limited","Protein meal",1238
2013,"Tegel Foods Limited","Protein meal",785
2013,"Value Proteins Limited","Protein meal",1375
2013,"Wallace Corporation Limited","Protein meal",8079
2013,"Carter Holt Harvey Limited","Reconstituted wood panels",777
2013,"Daiken New Zealand Limited","Reconstituted wood panels",8864
2013,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8250
2013,"Fletcher Building Products Limited","Reconstituted wood panels",1705
2013,"Juken New Zealand Limited","Reconstituted wood panels",5641
2013,"Nelson Pine Industries Limited","Reconstituted wood panels",15937
2013,"SCA Hygiene Australasia Limited","Tissue paper",18517
2013,"Fonterra Limited","Whey powder",622
